,game_index,pred_label,real_label
0,1,1,1
1,1,3,1
2,1,3,1
3,1,1,1
4,1,2,1
5,1,3,1
6,2,1,3
7,2,3,3
8,2,3,3
9,2,1,3
10,2,2,3
11,2,1,3
12,3,3,3
13,3,1,3
14,3,2,3
15,3,2,3
16,3,2,3
17,3,3,3
18,4,2,2
19,4,2,2
20,4,3,2
21,4,1,2
22,4,3,2
23,4,2,2
24,5,3,3
25,5,1,3
26,5,2,3
27,5,3,3
28,5,3,3
29,5,3,3
30,6,2,1
31,6,1,1
32,6,1,1
33,6,1,1
34,6,3,1
35,6,2,1
36,7,2,1
37,7,1,1
38,7,1,1
39,7,2,1
40,7,1,1
41,7,3,1
42,8,1,2
43,8,3,2
44,8,1,2
45,8,3,2
46,8,2,2
47,8,2,2
48,9,1,2
49,9,2,2
50,9,2,2
51,9,3,2
52,9,3,2
53,9,3,2
